transaction_id,customer_id,type,amount,transaction_date
TXN941505,CUS00140,ORDER,2755000.0,2026-03-23 22:47:52
TXN424493,CUS00489,BOOKING,527000.0,2026-05-27 22:47:52
TXN666288,CUS00290,ORDER,3589000.0,2026-04-03 22:47:52
TXN462027,CUS00429,BOOKING,987000.0,2026-06-02 22:47:52
TXN965974,CUS00213,BOOKING,375000.0,2026-05-24 22:47:52
TXN371296,CUS00146,BOOKING,1806000.0,2026-05-19 22:47:52
TXN100257,CUS00004,ORDER,4439000.0,2026-02-23 22:47:52
TXN679283,CUS00329,BOOKING,554000.0,2026-06-16 22:47:52
TXN22429,CUS00149,BOOKING,1796000.0,2026-06-03 22:47:52
TXN200265,CUS00164,BOOKING,1794000.0,2026-07-05 22:47:52
TXN730103,CUS00298,BOOKING,1605000.0,2026-03-23 22:47:52
TXN156842,CUS00179,BOOKING,469000.0,2026-05-13 22:47:52
TXN848598,CUS00454,ORDER,234000.0,2026-07-03 22:47:52
TXN561142,CUS00354,BOOKING,1267000.0,2026-07-04 22:47:52
TXN459472,CUS00404,BOOKING,585000.0,2026-06-25 22:47:52
TXN454991,CUS00255,ORDER,2993000.0,2026-05-18 22:47:52
TXN67550,CUS00478,BOOKING,1706000.0,2026-04-24 22:47:52
TXN706773,CUS00317,BOOKING,1046000.0,2026-06-25 22:47:52
TXN737051,CUS00425,BOOKING,1139000.0,2026-05-01 22:47:52
TXN744084,CUS00447,BOOKING,1679000.0,2026-07-05 22:47:52
TXN725212,CUS00389,BOOKING,1069000.0,2026-05-03 22:47:52
TXN577973,CUS00238,BOOKING,728000.0,2026-06-23 22:47:52
TXN504144,CUS00448,BOOKING,867000.0,2026-03-22 22:47:52
TXN712265,CUS00152,BOOKING,353000.0,2025-08-28 22:47:52
TXN980836,CUS00469,BOOKING,957000.0,2026-02-07 22:47:52
TXN64588,CUS00365,ORDER,1504000.0,2026-05-25 22:47:52
TXN225987,CUS00342,BOOKING,754000.0,2026-07-06 22:47:52
TXN130407,CUS00172,BOOKING,302000.0,2026-04-25 22:47:52
TXN683528,CUS00197,BOOKING,350000.0,2026-03-18 22:47:52
TXN608192,CUS00279,ORDER,2569000.0,2025-12-23 22:47:52
TXN435983,CUS00092,ORDER,2426000.0,2026-04-30 22:47:52
TXN639342,CUS00418,ORDER,4460000.0,2026-07-09 22:47:52
TXN350601,CUS00408,ORDER,4603000.0,2026-06-23 22:47:52
TXN770281,CUS00256,BOOKING,1434000.0,2026-06-21 22:47:52
TXN70796,CUS00084,BOOKING,208000.0,2026-07-09 22:47:52
TXN511915,CUS00450,BOOKING,994000.0,2026-06-03 22:47:52
TXN243197,CUS00382,BOOKING,1043000.0,2026-05-24 22:47:52
TXN484069,CUS00365,BOOKING,299000.0,2026-04-21 22:47:52
TXN935615,CUS00460,ORDER,468000.0,2026-06-10 22:47:52
TXN543422,CUS00104,BOOKING,1401000.0,2026-04-28 22:47:52
TXN606348,CUS00227,BOOKING,489000.0,2026-03-22 22:47:52
TXN948557,CUS00039,BOOKING,908000.0,2026-03-23 22:47:52
TXN839761,CUS00477,BOOKING,1921000.0,2026-04-21 22:47:52
TXN413321,CUS00490,BOOKING,1078000.0,2026-07-09 22:47:52
TXN230657,CUS00183,BOOKING,875000.0,2026-06-01 22:47:52
TXN750629,CUS00429,ORDER,211000.0,2026-06-21 22:47:52
TXN597360,CUS00172,BOOKING,788000.0,2026-05-17 22:47:52
TXN547977,CUS00174,BOOKING,307000.0,2026-06-11 22:47:52
TXN211494,CUS00404,BOOKING,1730000.0,2026-04-01 22:47:52
TXN71957,CUS00098,ORDER,891000.0,2026-02-27 22:47:52
TXN457389,CUS00098,ORDER,2521000.0,2026-06-17 22:47:52
TXN815102,CUS00203,BOOKING,1837000.0,2026-06-30 22:47:52
TXN882868,CUS00360,ORDER,2180000.0,2026-05-16 22:47:52
TXN395639,CUS00263,BOOKING,1418000.0,2026-07-03 22:47:52
TXN267130,CUS00455,BOOKING,1551000.0,2026-06-30 22:47:52
TXN459281,CUS00257,BOOKING,1955000.0,2026-05-29 22:47:52
TXN299996,CUS00051,ORDER,734000.0,2026-03-17 22:47:52
TXN52487,CUS00082,ORDER,1883000.0,2026-06-29 22:47:52
TXN794879,CUS00028,BOOKING,403000.0,2026-06-23 22:47:52
TXN1020,CUS00344,ORDER,1880000.0,2026-05-07 22:47:52
TXN179513,CUS00040,BOOKING,649000.0,2026-06-04 22:47:52
TXN556760,CUS00171,ORDER,3996000.0,2026-06-24 22:47:52
TXN219549,CUS00369,BOOKING,369000.0,2026-04-24 22:47:52
TXN885995,CUS00332,ORDER,2623000.0,2026-07-09 22:47:52
TXN887354,CUS00102,ORDER,1151000.0,2026-07-03 22:47:52
TXN325281,CUS00278,BOOKING,761000.0,2026-04-21 22:47:52
TXN957336,CUS00458,ORDER,658000.0,2026-05-02 22:47:52
TXN778781,CUS00426,BOOKING,1681000.0,2026-06-19 22:47:52
TXN7787,CUS00244,BOOKING,738000.0,2026-04-19 22:47:52
TXN922191,CUS00486,ORDER,1877000.0,2026-04-24 22:47:52
TXN718667,CUS00074,BOOKING,460000.0,2026-05-06 22:47:52
TXN484003,CUS00287,ORDER,4028000.0,2026-06-18 22:47:52
TXN631034,CUS00205,BOOKING,1348000.0,2026-06-28 22:47:52
TXN466931,CUS00103,BOOKING,311000.0,2026-07-02 22:47:52
TXN110904,CUS00076,BOOKING,1231000.0,2026-07-05 22:47:52
TXN619079,CUS00430,BOOKING,921000.0,2026-06-30 22:47:52
TXN919349,CUS00486,ORDER,1463000.0,2026-07-01 22:47:52
TXN282501,CUS00045,BOOKING,1109000.0,2026-05-20 22:47:52
TXN664971,CUS00315,BOOKING,820000.0,2026-06-09 22:47:52
TXN371661,CUS00498,BOOKING,452000.0,2026-06-07 22:47:52
TXN958160,CUS00426,BOOKING,689000.0,2026-04-19 22:47:52
TXN934870,CUS00219,BOOKING,1433000.0,2026-07-05 22:47:52
TXN435301,CUS00021,ORDER,600000.0,2026-06-05 22:47:52
TXN86905,CUS00200,BOOKING,971000.0,2026-05-16 22:47:52
TXN289818,CUS00090,BOOKING,1146000.0,2025-12-29 22:47:52
TXN988535,CUS00041,BOOKING,1690000.0,2026-05-15 22:47:52
TXN808388,CUS00198,ORDER,3372000.0,2026-06-29 22:47:52
TXN303166,CUS00136,BOOKING,1125000.0,2026-07-02 22:47:52
TXN874194,CUS00164,BOOKING,1772000.0,2026-01-31 22:47:52
TXN244919,CUS00397,ORDER,3125000.0,2026-06-10 22:47:52
TXN650160,CUS00185,ORDER,380000.0,2026-04-27 22:47:52
TXN720053,CUS00038,BOOKING,1109000.0,2026-01-31 22:47:52
TXN358816,CUS00473,BOOKING,260000.0,2026-06-07 22:47:52
TXN449370,CUS00351,BOOKING,1807000.0,2026-05-24 22:47:52
TXN228924,CUS00423,BOOKING,331000.0,2026-01-06 22:47:52
TXN841744,CUS00489,BOOKING,1426000.0,2026-06-19 22:47:52
TXN804010,CUS00053,ORDER,1661000.0,2026-04-18 22:47:52
TXN903015,CUS00279,BOOKING,1540000.0,2026-05-04 22:47:52
TXN51051,CUS00270,BOOKING,469000.0,2026-05-15 22:47:52
TXN82992,CUS00363,BOOKING,1979000.0,2026-06-02 22:47:52
TXN191676,CUS00334,BOOKING,1645000.0,2026-07-02 22:47:52
TXN306772,CUS00343,BOOKING,1113000.0,2025-12-13 22:47:52
TXN327664,CUS00393,BOOKING,1321000.0,2025-12-23 22:47:52
